response,contrast,estimate,SE,df,t.ratio,p.value
root_fresh_weight_g,T0 - T2,1.8933333333333306,0.24143091949642365,10,7.842132802552562,1.062398135888154e-4
root_fresh_weight_g,T0 - T3,2.3366666666666642,0.24143091949642367,10,9.678406856671385,1.6528758785883113e-5
root_fresh_weight_g,T0 - T4,3.7033333333333314,0.2414309194964237,10,15.339101309218137,2.2715547798313196e-7
root_fresh_weight_g,T1 - T2,1.5599999999999992,0.24143091949642376,10,6.461475619004578,5.362609648831285e-4
root_fresh_weight_g,T1 - T3,2.003333333333333,0.24143091949642373,10,8.297749673123404,6.506658174854074e-5
root_fresh_weight_g,T1 - T4,3.37,0.24143091949642376,10,13.958444125670153,5.450329696454759e-7
root_fresh_weight_g,T2 - T3,0.4433333333333336,0.24143091949642367,10,1.8362740541188252,0.4060829619279086
root_fresh_weight_g,T2 - T4,1.8100000000000007,0.2414309194964237,10,7.496968506665577,1.5618242387049897e-4
root_fresh_weight_g,T3 - T4,1.3666666666666671,0.2414309194964237,10,5.660694452546752,0.0015171734226937517
root_dry_weight_g,T0 - T1,0.22999999999999954,0.10097304370749434,10,2.277835663410121,0.22855321111893323
root_dry_weight_g,T0 - T2,0.3599999999999994,0.10097304370749428,10,3.5653079949028013,0.03266261977592644
root_dry_weight_g,T0 - T3,0.5833333333333327,0.10097304370749428,10,5.777119436185099,0.0012979543314873832
root_dry_weight_g,T0 - T4,0.9533333333333327,0.1009730437074943,10,9.44146376427965,2.0673525327419284e-5
root_dry_weight_g,T1 - T2,0.12999999999999984,0.10097304370749433,10,1.2874723314926784,0.704240199099931
root_dry_weight_g,T1 - T3,0.35333333333333317,0.10097304370749431,10,3.4992837727749753,0.03618675768797697
root_dry_weight_g,T1 - T4,0.7233333333333332,0.10097304370749433,10,7.163628100869525,2.2931342422349843e-4
root_dry_weight_g,T2 - T3,0.22333333333333333,0.1009730437074943,10,2.211811441282297,0.2503888181445013
root_dry_weight_g,T2 - T4,0.5933333333333333,0.1009730437074943,10,5.876155769376848,0.0011380872862220004
root_dry_weight_g,T3 - T4,0.37,0.1009730437074943,10,3.664344328094552,0.028015428428707856
total_dry_biomass_g,T0 - T1,0.6099999999999983,0.20049937655763467,10,3.042403475128265,0.07347154097336173
total_dry_biomass_g,T0 - T2,0.9299999999999975,0.20049937655763453,10,4.6384184129004735,0.006409483842563235
total_dry_biomass_g,T0 - T3,2.096666666666664,0.20049937655763456,10,10.45722287352832,8.161677669149547e-6
total_dry_biomass_g,T0 - T4,2.786666666666664,0.20049937655763458,10,13.898630083099645,5.674570258129563e-7
total_dry_biomass_g,T1 - T2,0.3199999999999992,0.20049937655763464,10,1.596014937772205,0.5310656327549726
total_dry_biomass_g,T1 - T3,1.4866666666666657,0.2004993765576346,10,7.414819398400051,1.714970039916608e-4
total_dry_biomass_g,T1 - T4,2.176666666666666,0.20049937655763464,10,10.856226607971378,5.779576522924046e-6
total_dry_biomass_g,T2 - T3,1.1666666666666665,0.20049937655763458,10,5.818804460627847,0.0012279162514583497
total_dry_biomass_g,T2 - T4,1.8566666666666665,0.20049937655763458,10,9.260211670199174,2.4607614905303166e-5
total_dry_biomass_g,T3 - T4,0.69,0.20049937655763458,10,3.441407209571327,0.039589655009180325
relative_growth_pct,T0 - T1,10.333333333333318,3.4108975684154266,10,3.029505614304856,0.0749459233224331
relative_growth_pct,T0 - T2,15.766666666666637,3.4108975684154244,10,4.622439211503863,0.006561827171923884
relative_growth_pct,T0 - T3,35.53333333333331,3.410897568415425,10,10.417590273706391,8.45123304626938e-6
relative_growth_pct,T0 - T4,47.23333333333331,3.410897568415425,10,13.847772436999962,5.873434218983675e-7
relative_growth_pct,T1 - T2,5.433333333333319,3.4108975684154257,10,1.5929335971990037,0.5327611615441616
relative_growth_pct,T1 - T3,25.199999999999992,3.4108975684154257,10,7.388084659401532,1.7682542269092938e-4
relative_growth_pct,T1 - T4,36.89999999999999,3.4108975684154257,10,10.8182668226951,5.9698068164415474e-6
relative_growth_pct,T2 - T3,19.766666666666673,3.410897568415425,10,5.795151062202529,0.0012671475152266076
relative_growth_pct,T2 - T4,31.466666666666676,3.4108975684154252,10,9.2253332254961,2.5454363590027285e-5
relative_growth_pct,T3 - T4,11.700000000000003,3.4108975684154252,10,3.4301821632935705,0.04028593198617669
